OrderID,Date,Region,Store,Category,Product,UnitsSold,Revenue,Cost,DiscountPercent
1001,2026-05-01,East,Providence Cafe,Coffee,Latte,45,247.50,135.00,0
1002,2026-05-01,East,Providence Cafe,Food,Muffin,30,105.00,42.00,10
1003,2026-05-01,West,Seattle Central,Coffee,Cold Brew,52,286.00,140.00,5
1004,2026-05-02,South,Austin Beans,Tea,Chai Latte,28,126.00,56.00,0
1005,2026-05-02,West,Seattle Central,Food,Bagel,40,140.00,52.00,15
1006,2026-05-02,East,Providence Cafe,Coffee,Cappuccino,38,209.00,114.00,0
1007,2026-05-03,South,Austin Beans,Coffee,Americano,60,210.00,78.00,0
1008,2026-05-03,West,Seattle Central,Tea,Green Tea,25,87.50,30.00,0
1009,2026-05-03,East,Providence Cafe,Food,Croissant,18,81.00,36.00,20
1010,2026-05-04,South,Austin Beans,Food,Cookie,50,125.00,40.00,0
1011,2026-05-04,West,Seattle Central,Coffee,Mocha,33,198.00,102.00,10
1012,2026-05-04,East,Providence Cafe,Tea,Matcha Latte,20,110.00,48.00,5
1013,2026-05-05,South,Austin Beans,Coffee,Espresso,70,210.00,84.00,0
1014,2026-05-05,West,Seattle Central,Food,Scone,22,88.00,35.00,0
1015,2026-05-05,East,Providence Cafe,Coffee,Flat White,27,162.00,81.00,0
